Entity,biodiversity_kg,rank
Lamb casserole,0.10306308,179.5
Lamb chops,0.10306308,179.5
Lamb curry,0.03925508,141.0
Lamb moussaka,0.039971335,142.0
Lasagne sheets,0.007259346,60.0
Lemons,0.00271097,19.0
Lentils,0.087143903,176.0
Lettuce,0.016762115,101.0
Limes,0.002670427,18.0
Macaroni cheese,0.205208431,195.0
Mackerel,0.024227209,121.0
Marmalade,0.009706034,77.0
Meat pizza,0.044140154,148.0
Meat-free burger,0.009598042,75.0
Meat-free mince,0.009949507,80.0
Meat-free nuggets,0.004954281,41.0
Meat-free sausages,0.008245278,69.0
Melon,0.005408445,44.0
Milk chocolate,0.406417637,204.0
Mixed salad,0.003782558,32.0
Mozzarella cheese,0.19260566,192.0
Muesli,0.014660884,93.0
Muffins,0.044259718,149.0
Mushrooms,0.012659549,85.0
Naan,0.007022825,57.0
Nut loaf,0.009174977,74.0
Oat milk,0.003302696,27.0
Olive oil,0.16897779,187.0
Onions,2.95e-14,1.0
Orange juice,0.003259061,26.0
Oranges,0.002500368,17.0
Pain au chocolat,0.068998482,166.0
Pancakes,0.01136275,82.0
Parmesan cheese,0.288148807,200.0
Parsnips,0.000492326,6.0
Pasta shells,0.006559529,54.0
Peanut butter,0.019387655,110.0
Peanuts,0.019673817,111.0
Pears,0.006024569,49.0
Pecan nuts,0.046619585,153.0
Penne pasta,0.007708092,68.0
Peppers,0.00411929,36.0
Pineapple,0.006082205,50.0
Pitta bread,0.003148582,23.0
Popcorn,0.023393238,119.0
Poppadoms,0.024392039,123.0
Pork chops,0.05277604,160.0
Pork loin,0.054189612,161.0
Pork sausage rolls,0.03649113,138.0
Pork sausages,0.043826387,146.0
Porridge (oatmeal),0.017163945,103.0
Potato croquettes,0.00311057,22.0
Potatoes,0.000631676,7.0
Prawn crackers,0.030336068,131.0
Prawns,0.003720135,31.0
Protein bar,0.082296058,171.0
Protein shake,0.024087991,120.0
Pumpkin seeds,0.018279295,106.0
Quiche,0.045647383,151.0
Quinoa,0.017468786,105.0
Rapeseed oil,0.018770096,107.0
Raspberries,0.004487881,38.0
Raspberry jam,0.009813339,79.0
Rice,0.007514676,64.0
Rice milk,0.000634647,8.0
Rice noodles,0.005479131,45.0
Ricotta cheese,0.189531826,190.0
Salmon,0.018857009,108.0
Salmon fishcakes,0.01383366,90.0
Sausage rolls,0.032685927,134.0
Shepherd's pie,0.026751029,125.0
Shortbread biscuits,0.019808034,112.0
Sourdough bread,0.006339568,52.0
Soy desert,0.028576656,128.0
Soy milk,0.006759373,56.0
Soy yoghurt,0.00318639,25.0
Spaghetti,0.007162182,59.0
Spaghetti bolognese,0.05580939,162.0
Spinach,0.002750803,20.0
Sponge cake,0.015929595,97.0
Steak pie,0.051738309,159.0
Strawberries,0.013576369,89.0
Strawberry jam,0.014631633,92.0
Sugar,0.013326163,88.0
Sunflower oil,0.115153419,181.0
Sunflower seeds,0.06592637,165.0
Sweetcorn,0.001691947,14.0
Tea,0.476396303,206.0
Tofu,0.005580317,46.0
Tomato ketchup,0.004620701,40.0
Tomatoes,0.000764135,9.0
Tortilla wraps,0.007093971,58.0
Tuna,0.022088928,117.0
Vegan pizza,0.009702631,76.0
Vegetable lasagne,0.034437587,136.0
Ale,0.0304099,132.0
Ale,0.007698218,67.0
Almond butter,0.056673075,163.0
Almond milk,0.048004527,155.0
Almonds,0.005886991,47.0
Apple juice,0.015786533,96.0
Apple pie,0.027948708,127.0
